Id,SepalLengthCm,Sepal_Width,PetalLengthCm,PetalWidthCm,Species,SepalArea
1,5.1,3.5,1.4,0.2,Setosa,17.849999999999998
2,4.9,3.0,1.4,0.2,Setosa,14.700000000000001
3,4.7,3.2,1.3,0.2,Setosa,15.040000000000001
4,4.6,3.1,1.5,0.2,Setosa,14.26
5,5.0,3.6,1.4,0.2,Setosa,18.0
6,5.4,3.9,1.7,0.4,Setosa,21.060000000000002
7,4.6,3.4,1.4,0.3,Setosa,15.639999999999999
8,5.0,3.4,1.5,0.2,Setosa,17.0
9,4.4,2.9,1.4,0.2,Setosa,12.76
10,4.9,3.1,1.5,0.1,Setosa,15.190000000000001
11,5.4,3.7,1.5,0.2,Setosa,19.980000000000004
12,4.8,3.4,1.6,0.2,Setosa,16.32
13,4.8,3.0,1.4,0.1,Setosa,14.399999999999999
14,4.3,3.0,1.1,0.1,Setosa,12.899999999999999
15,5.8,4.0,1.2,0.2,Setosa,23.2
16,5.7,4.4,1.5,0.4,Setosa,25.080000000000002
17,5.4,3.9,1.3,0.4,Setosa,21.060000000000002
18,5.1,3.5,1.4,0.3,Setosa,17.849999999999998
19,5.7,3.8,1.7,0.3,Setosa,21.66
20,5.1,3.8,1.5,0.3,Setosa,19.38
21,5.4,3.4,1.7,0.2,Setosa,18.36
22,5.1,3.7,1.5,0.4,Setosa,18.87
23,4.6,3.6,1.0,0.2,Setosa,16.56
24,5.1,3.3,1.7,0.5,Setosa,16.83
25,4.8,3.4,1.9,0.2,Setosa,16.32
26,5.0,3.0,1.6,0.2,Setosa,15.0
27,5.0,3.4,1.6,0.4,Setosa,17.0
28,5.2,3.5,1.5,0.2,Setosa,18.2
29,5.2,3.4,1.4,0.2,Setosa,17.68
30,4.7,3.2,1.6,0.2,Setosa,15.040000000000001
31,4.8,3.1,1.6,0.2,Setosa,14.879999999999999
32,5.4,3.4,1.5,0.4,Setosa,18.36
33,5.2,4.1,1.5,0.1,Setosa,21.32
34,5.5,4.2,1.4,0.2,Setosa,23.1
35,4.9,3.1,1.5,0.1,Setosa,15.190000000000001
36,5.0,3.2,1.2,0.2,Setosa,16.0
37,5.5,3.5,1.3,0.2,Setosa,19.25
38,4.9,3.1,1.5,0.1,Setosa,15.190000000000001
39,4.4,3.0,1.3,0.2,Setosa,13.200000000000001
40,5.1,3.4,1.5,0.2,Setosa,17.34
41,5.0,3.5,1.3,0.3,Setosa,17.5
42,4.5,2.3,1.3,0.3,Setosa,10.35
43,4.4,3.2,1.3,0.2,Setosa,14.080000000000002
44,5.0,3.5,1.6,0.6,Setosa,17.5
45,5.1,3.8,1.9,0.4,Setosa,19.38
46,4.8,3.0,1.4,0.3,Setosa,14.399999999999999
47,5.1,3.8,1.6,0.2,Setosa,19.38
48,4.6,3.2,1.4,0.2,Setosa,14.719999999999999
49,5.3,3.7,1.5,0.2,Setosa,19.61
50,5.0,3.3,1.4,0.2,Setosa,16.5
51,7.0,3.2,4.7,1.4,Iris-versicolor,22.400000000000002
52,6.4,3.2,4.5,1.5,Iris-versicolor,20.480000000000004
53,6.9,3.1,4.9,1.5,Iris-versicolor,21.39
54,5.5,2.3,4.0,1.3,Iris-versicolor,12.649999999999999
55,6.5,2.8,4.6,1.5,Iris-versicolor,18.2
56,5.7,2.8,4.5,1.3,Iris-versicolor,15.959999999999999
57,6.3,3.3,4.7,1.6,Iris-versicolor,20.79
58,4.9,2.4,3.3,1.0,Iris-versicolor,11.76
59,6.6,2.9,4.6,1.3,Iris-versicolor,19.139999999999997
60,5.2,2.7,3.9,1.4,Iris-versicolor,14.040000000000001
61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0
62,5.9,3.0,4.2,1.5,Iris-versicolor,17.700000000000003
63,6.0,2.2,4.0,1.0,Iris-versicolor,13.200000000000001
